,event_id,PhysicalDataID,Station,Date,YSI,Time,Datetime,FlowDirection,VegetationRank,FieldComments_WQ,DataCorrectionComments,SamplingAltered,MeshSize,SamplingID,InvertDataID,ConditionCode,SetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,FieldComments,InvertCode,SampleVolume,SampleID,Attribute,wet_mass,dry_mass,condition,SampleAltered,SubsampleNumber,DilutionVolume,Flag_SAMP,Comment_SAMP,Flag_LAB,Comment_LAB
1,SHR_1998-02-03 09:13:00,93,SHR,2/3/1998,NA,9:13:00,2/3/1998 9:13,NA,NA,NA,NA,NA,NA,45225,107,NA,36,Regular,NA,NA,No meter values on datasheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,FMMISSING,,
2,SHR_1998-02-04 10:30:00,94,SHR,2/4/1998,NA,10:30:00,2/4/1998 10:30,NA,NA,NA,NA,NA,NA,45228,108,NA,30,Regular,294066,341697,Extapolated counts to 30 minutes ~341697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SAMP,,
3,SHR_1998-03-25 09:27:00,101,SHR,3/25/1998,NA,9:27:00,3/25/1998 9:27,NA,NA,NA,NA,NA,NA,45273,115,NA,30,Regular,352222,358607,Flow meter may have been inside net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
4,STTD_1998-03-25 10:32:00,113,STTD,3/25/1998,NA,10:32:00,3/25/1998 10:32,NA,NA,NA,NA,NA,NA,45270,127,NA,30,Regular,358630,358644,See original data sheet (only half sample kept),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
5,SHR_1999-02-16 10:00:00,53,SHR,2/16/1999,NA,10:00:00,2/16/1999 10:00,NA,NA,NA,NA,NA,NA,45294,3,1,30,Regular,302638,440974,drift sample  SHRD0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
6,STTD_1999-02-16 13:10:00,34,STTD,2/16/1999,NA,13:10:00,2/16/1999 13:10,NA,NA,NA,NA,NA,NA,45297,13,1,30,Regular,440990,497917,STTDD 001 Drift sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
7,SHR_1999-02-24 08:23:00,40,SHR,2/24/1999,NA,8:23:00,2/24/1999 8:23,NA,NA,NA,NA,NA,NA,45309,4,1,30,Regular,709626,734344,SHRD 003   Flow Meter # 12972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
8,STTD_1999-02-24 11:15:00,6,STTD,2/24/1999,NA,11:15:00,2/24/1999 11:15,NA,NA,NA,NA,NA,NA,45306,14,1,30,Regular,744335,814849,STTDD 003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
9,SHR_1999-03-04 07:40:00,43,SHR,3/4/1999,NA,7:40:00,3/4/1999 7:40,NA,NA,NA,NA,NA,NA,45327,5,1,30,Regular,135590,167345,SHRD 006   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
10,STTD_1999-03-04 10:00:00,27,STTD,3/4/1999,NA,10:00:00,3/4/1999 10:00,NA,NA,NA,NA,NA,NA,45324,15,1,30,Regular,146182,187777,STTDD 006   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
11,SHR_1999-03-09 07:45:00,44,SHR,3/9/1999,NA,7:45:00,3/9/1999 7:45,NA,NA,NA,NA,NA,NA,45330,6,1,30,Regular,160056,191541,SHRD 007   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
12,STTD_1999-03-09 09:45:00,28,STTD,3/9/1999,NA,9:45:00,3/9/1999 9:45,NA,NA,NA,NA,NA,NA,45333,16,1,30,Regular,170556,228897,STTDD 007   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
13,SHR_1999-03-11 07:45:00,45,SHR,3/11/1999,NA,7:45:00,3/11/1999 7:45,NA,NA,NA,NA,NA,NA,45336,7,1,30,Regular,190019,200443,SHRD 008   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
14,STTD_1999-03-11 09:28:00,29,STTD,3/11/1999,NA,9:28:00,3/11/1999 9:28,NA,NA,NA,NA,NA,NA,45339,17,1,30,Regular,200437,258202,STTDD 008   End Meter reading was estimated from the 10mins reading (x3 for 30mins) NI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,SAMP,,
