"PhysicalDataID","StationCode","Date","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
2010,"STTD",2020-01-06,"10:19:00","CLR","Flood",1,9.1,0.41,464,666,7.45,9.37,13.5,1578305940,"2020","1","Jan","NA",NA
2009,"STTD",2020-01-27,"09:41:00","CLR","Ebb",1,11.5,0.38,561,757,7.55,8.93,17.1,1580118060,"2020","1","Jan","NA",NA
2007,"SHR",2020-01-28,"09:30:00","CLD","High",1,11.4,0.5,139,188,7.46,10.49,19.4,1580203800,"2020","1","Jan","NA",NA
2005,"SHR",2020-01-07,"09:27:00","FOG","Ebb",1,9.6,0.9,139,197,7.42,10.9,14,1578389220,"2020","1","Jan","NA",NA
2003,"SHR",2019-12-27,"09:40:00","CLR","Ebb",1,8.9,0.7,120,175,7.29,10.72,13.2,1577439600,"2019","12","Dec","NA",NA
2001,"STTD",2019-12-26,"10:15:00","CLR","Ebb",1,9,0.4,453,653,7.48,8.43,20.6,1577355300,"2019","12","Dec","NA",NA
1999,"SHR",2019-12-10,"09:10:00","CLD","Ebb",1,12,0.45,131,174,7.33,9.27,24.6,1575969000,"2019","12","Dec","NA",NA
1997,"STTD",2019-12-09,"10:30:00","CLD","Flood",1,12.5,0.39,421,553,7.47,6.47,26.3,1575887400,"2019","12","Dec","NA",NA
1996,"SHR",2019-11-25,"09:35:00","CLR","Ebb",1,12,1.6,102,136,7.57,10.05,5.3,1574674500,"2019","11","Nov","NA",NA
1994,"STTD",2019-11-26,"09:57:00","CLD","Ebb",1,11.4,0.57,150,202,7.83,9.62,13.9,1574762220,"2019","11","Nov","NA",NA
1993,"STTD",2019-11-14,"10:31:00","CLR","High",1,14.9,0.5,150,185,7.92,9.44,12.9,1573727460,"2019","11","Nov","NA",NA
1990,"SHR",2019-11-13,"09:36:00","CLD","Ebb",1,13.6,2.5,94,120,7.47,9.78,5.2,1573637760,"2019","11","Nov","NA",NA
1987,"STTD",2019-10-29,"10:20:00","CLR","Ebb",1,12.9,0.34,152,198,7.98,9.29,21.3,1572344400,"2019","10","Oct","NA",NA
1986,"SHR",2019-10-28,"09:08:00","CLR","Flood",1,13.7,1.75,93,118,7.4,9.8,4.1,1572253680,"2019","10","Oct","NA",NA
