measuring_program,date,time,station,sam_code,sample_id,short_name,attribute,taxon,count,total_length,fork_length,life_stage,larval_life_stage,original_taxonomist_notes,qc_reid,qc_taxon,qc_notes
YBFMP,4/22/2019,9:58,STTD,,20190422_0958_STTD_ICH,ICH,Ichthyoplankton,Percina macrolepida,1,,4,YSL,Y,43 myomeres,Y,Percina macrolepida,"4.0mm, 43 myomeres(23/20), 63% preanal length, large single oil globule, pigment consistent with P. macrolepida at YSL stage."
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Cyprinidae,3,,25,Juvenile,J,~44 myomeres D: 9/A: 9,Y,Cyprinidae - see notes - likely P. macrolepidotus,"Approx 44 total myomeres on cusp of couplet and problematic for identification beyond family. Dorsal (11) and anal (9) fin ray counts overlap with other taxa.  Tail shape not clear, but slightly subterminal mouth indicates likely P. macrolepidotus."
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Cyprinidae,3,,23,Juvenile,J,~44 myomeres D: 9/A: 9,Y,Cyprinidae - see notes - likely P. macrolepidotus,"Approx 44 total myomeres on cusp of couplet and problematic for identification beyond family. Dorsal (11) and anal (9) fin ray counts overlap with other taxa.  Tail shape not clear, but slightly subterminal mouth indicates likely P. macrolepidotus."
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Cyprinidae,3,,30,Juvenile,J,~44 myomeres D: 9/A: 9,Y,Cyprinidae - see notes - likely P. macrolepidotus,"Approx 44 total myomeres on cusp of couplet and problematic for identification beyond family. Dorsal (11) and anal (9) fin ray counts overlap with other taxa.  Tail shape not clear, but slightly subterminal mouth indicates likely P. macrolepidotus."
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Menidia beryllina,2,,5,L-Preflexion,L,NA,Y,Menidia berylina,Distinct - agree with original taxonomist
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Menidia beryllina,2,,5,L-Preflexion,L,NA,Y,Menidia berylina,Distinct - agree with original taxonomist
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Cottus asper,3,,5,L-Preflexion,L,NA,Y,Cottus asper,Distinct - agree with original taxonomist
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Cottus asper,3,,5.5,L-Preflexion,L,NA,Y,Cottus asper,Distinct - agree with original taxonomist
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Cottus asper,3,,4,L-Preflexion,L,NA,Y,Cottus asper,Distinct - agree with original taxonomist
YBFMP,5/6/2019,9:53,STTD,,20190506_0956_STTD_ICH,ICH,Ichthyoplankton,Pomoxis sp.,1,,5,L-Preflexion,L,"~32 myomeres This larvae resembles Lepomis  & Pomoxis sp. Based on myomeres I will place it under Pomoxis, but pigmentation more in tuned with Lepomis. Time of year overlaps. So, will leave at Centrarchid for now. Will be vouchered",Y,Pomoxis sp. likely (see notes),"Agree with original taxonomist notes. Likely Pomoxis sp. based on relatively short pre-anal length, myomere counts, and to a lesser extent dorsal gut pigmentation. Poor condition."
YBFMP,5/20/2019,10:10,STTD,,20190520_1010_STTD_ICH,ICH,Ichthyoplankton,Cyprinidae,1,,30,Juvenile,J,Similar to the one in sample 7976.9-2. D: 10/ A: 9,N,Cyprinidae - see notes - likely P. macrolepidotus,See previous notes for EA sample 7976.9-2
YBFMP,5/20/2019,10:10,STTD,,20190520_1010_STTD_ICH,ICH,Ichthyoplankton,Menidia beryllina,2,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,5/20/2019,10:10,STTD,,20190520_1010_STTD_ICH,ICH,Ichthyoplankton,Menidia beryllina,2,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,4.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,4.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,4.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,4.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,4.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,4.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,5.5,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,6,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/3/2019,9:22,STTD,,20190603_0922_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,61,,6,L-Preflexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,1,,21,L-PostFlexion,L,NA,Y,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,6,,18.5,L-PostFlexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,6,,18.5,L-PostFlexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,6,,17,L-PostFlexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,6,,12,L-PostFlexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,6,,11.5,L-PostFlexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,6,,11,L-PostFlexion,L,NA,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,4,,9,L-Preflexion,L,NA,N,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,4,,7.5,L-Preflexion,L,NA,N,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,4,,9,L-Preflexion,L,NA,N,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,4,,7,L-Preflexion,L,NA,N,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,2,,6,L-Preflexion,L,Smallest one damaged. Gut ripped,N,N/A,N/A
YBFMP,6/17/2019,10:15,STTD,,20190617_1015_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,2,,5,L-Preflexion,L,Smallest one damaged. Gut ripped,N,N/A,N/A
YBFMP,7/1/2019,9:27,STTD,,20190701_0927_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,1,,17.5,L-Flexion,L,NA,Y,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,7/1/2019,9:27,STTD,,20190701_0927_STTD_ICH,ICH,Ichthyoplankton,Alosa sapidissima,1,,11,L-Preflexion,L,NA,Y,Alosa sapidissima,High myomere count is diagnostic.
YBFMP,7/1/2019,9:27,STTD,,20190701_0927_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,4,,4.5,L-Preflexion,L,NA,N,Dorosoma petenense,Relatively lower myomere count is diagnostic
YBFMP,7/1/2019,9:27,STTD,,20190701_0927_STTD_ICH,ICH,Ichthyoplankton,Dorosoma petenense,4,,5,L-Preflexion,L,NA,N,Dorosoma petenense,Relatively lower myomere count is diagnostic
