"measuring_program","date","time","station","sam_code","sample_id","short_name","attribute","observable","count","total_length","fork_length","life","larval_life_stage"
"YBFMP",2024-01-08,"09:19","STTD","","20240108_0919_STTD_ICH","ICH","Ichthyoplankton","No Catch",0,"",NA,NA,""
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","5.5","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","5.04","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","5","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","4","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","5","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","5","L","L-Preflexion"
"YBFMP",2024-01-29,"11:44","STTD","","20240129_1144_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",31,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","6","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5.5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","4.5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
